"RESOURCE_DATE","HOSPITAL_ID","WARD","RESOURCE_TYPE","TOTAL_AVAILABLE","TOTAL_OCCUPIED"
"01-JUN-25","HOSP001","GeneralWard","bed","100","85"
"01-JUN-25","HOSP001","ICUWard","icu_bed","20","15"
"01-JUN-25","HOSP001","Ventilator","ventilator","15","10"
"02-JUN-25","HOSP001","GeneralWard","bed","100","88"
"02-JUN-25","HOSP001","ICUWard","icu_bed","20","17"
"02-JUN-25","HOSP001","Ventilator","ventilator","15","11"
"03-JUN-25","HOSP001","GeneralWard","bed","100","91"
"03-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"03-JUN-25","HOSP001","Ventilator","ventilator","15","13"
"04-JUN-25","HOSP001","GeneralWard","bed","100","90"
"04-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"04-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"05-JUN-25","HOSP001","GeneralWard","bed","100","95"
"05-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"05-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"06-JUN-25","HOSP001","GeneralWard","bed","100","98"
"06-JUN-25","HOSP001","ICUWard","icu_bed","20","20"
"06-JUN-25","HOSP001","Ventilator","ventilator","15","15"
"07-JUN-25","HOSP001","GeneralWard","bed","100","96"
"07-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"07-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"08-JUN-25","HOSP001","GeneralWard","bed","100","92"
"08-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"08-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"09-JUN-25","HOSP001","GeneralWard","bed","100","89"
"09-JUN-25","HOSP001","ICUWard","icu_bed","20","16"
"09-JUN-25","HOSP001","Ventilator","ventilator","15","11"
"10-JUN-25","HOSP001","GeneralWard","bed","100","85"
"10-JUN-25","HOSP001","ICUWard","icu_bed","20","15"
"10-JUN-25","HOSP001","Ventilator","ventilator","15","10"
"11-JUN-25","HOSP001","GeneralWard","bed","100","87"
"11-JUN-25","HOSP001","ICUWard","icu_bed","20","16"
"11-JUN-25","HOSP001","Ventilator","ventilator","15","11"
"12-JUN-25","HOSP001","GeneralWard","bed","100","90"
"12-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"12-JUN-25","HOSP001","Ventilator","ventilator","15","13"
